 %[acid] (cm^-3)         [DMA] (ppt)               T (K)            CS (1/s)       J (cm^-3s^-1)
     1.00000E+07         1.00000E+09         1.80000E+02         1.00000E-05         1.73628E+04
     3.16228E+07         1.00000E+04         1.80000E+02         1.00000E-05         5.63977E+01
     3.16228E+07         3.16228E+04         1.80000E+02         1.00000E-05         1.82754E+02
     3.16228E+07         1.00000E+05         1.80000E+02         1.00000E-05         5.85476E+02
     3.16228E+07         3.16228E+05         1.80000E+02         1.00000E-05         1.85950E+03
     3.16228E+07         1.00000E+06         1.80000E+02         1.00000E-05         5.83184E+03
     3.16228E+07         3.16228E+06         1.80000E+02         1.00000E-05         1.77093E+04
     3.16228E+07         1.00000E+07         1.80000E+02         1.00000E-05         4.86834E+04
     3.16228E+07         3.16228E+07         1.80000E+02         1.00000E-05         9.82443E+04
     3.16228E+07         1.00000E+08         1.80000E+02         1.00000E-05         1.30928E+05
     3.16228E+07         3.16228E+08         1.80000E+02         1.00000E-05         1.54465E+05
     3.16228E+07         1.00000E+09         1.80000E+02         1.00000E-05         1.69958E+05
     1.00000E+08         1.00000E+04         1.80000E+02         1.00000E-05         1.81708E+02
     1.00000E+08         3.16228E+04         1.80000E+02         1.00000E-05         5.82712E+02
     1.00000E+08         1.00000E+05         1.80000E+02         1.00000E-05         1.85749E+03
     1.00000E+08         3.16228E+05         1.80000E+02         1.00000E-05         5.89869E+03
     1.00000E+08         1.00000E+06         1.80000E+02         1.00000E-05         1.86568E+04
     1.00000E+08         3.16228E+06         1.80000E+02         1.00000E-05         5.84688E+04
     1.00000E+08         1.00000E+07         1.80000E+02         1.00000E-05         1.78136E+05
     1.00000E+08         3.16228E+07         1.80000E+02         1.00000E-05         4.94890E+05
     1.00000E+08         1.00000E+08         1.80000E+02         1.00000E-05         1.01212E+06
     1.00000E+08         3.16228E+08         1.80000E+02         1.00000E-05         1.36697E+06
     1.00000E+08         1.00000E+09         1.80000E+02         1.00000E-05         1.59881E+06
     3.16228E+08         1.00000E+04         1.80000E+02         1.00000E-05         5.81353E+02
     3.16228E+08         3.16228E+04         1.80000E+02         1.00000E-05         1.85304E+03
     3.16228E+08         1.00000E+05         1.80000E+02         1.00000E-05         5.88733E+03
     3.16228E+08         3.16228E+05         1.80000E+02         1.00000E-05         1.86710E+04
     3.16228E+08         1.00000E+06         1.80000E+02         1.00000E-05         5.91358E+04
     3.16228E+08         3.16228E+06         1.80000E+02         1.00000E-05         1.86874E+05
     3.16228E+08         1.00000E+07         1.80000E+02         1.00000E-05         5.86295E+05
     3.16228E+08         3.16228E+07         1.80000E+02         1.00000E-05         1.79544E+06
     3.16228E+08         1.00000E+08         1.80000E+02         1.00000E-05         5.05287E+06
     3.16228E+08         3.16228E+08         1.80000E+02         1.00000E-05         1.04002E+07
     3.16228E+08         1.00000E+09         1.80000E+02         1.00000E-05         1.39785E+07
     1.00000E+09         1.00000E+04         1.80000E+02         1.00000E-05         1.85125E+03
     1.00000E+09         3.16228E+04         1.80000E+02         1.00000E-05         5.88043E+03
